GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G53212","2010","53212",37736.67,36925,38265,30934.18,30607,31162,30416,29156.30,29109,29203
"G53213","2010","53213",27557.25,25692,28870,26283.36,24433,27591,26020,26590.41,25383,27301
"G53214","2010","53214",36886.50,36604,38711,34920.64,34694,35723,34725,34377.94,34202,34687
"G53215","2010","53215",50464.74,49724,51249,55304.73,54578,56112,60953,59325.57,59023,60076
"G53216","2010","53216",34966.86,33678,35846,34203.96,33276,34979,32264,30388.63,30038,30815
"G53217","2010","53217",30381.97,30319,30518,29667.72,29633,29792,29192,30510.41,30510,30957
"G53218","2010","53218",40625.29,39334,42299,41072.99,39749,42788,40625,38271.15,37531,39381
"G53219","2010","53219",35003.96,34341,35437,33662.60,33045,34071,33880,34992.81,34653,35260
"G53220","2010","53220",26366.86,25206,27603,25563.43,24712,27093,26303,26668.19,26172,27769
"G53221","2010","53221",36128.74,34648,39476,35439.27,33743,38271,37701,39625.59,38228,40948
"G53222","2010","53222",25675.13,25025,27094,24804.56,24206,26114,25165,25821.69,25458,26178
"G53223","2010","53223",29545.37,26507,30769,29335.95,27493,30223,29230,29179.51,28447,30030
"G53224","2010","53224",18282.53,15971,19782,19705.52,18019,21028,21284,20973.39,20333,21300
"G53225","2010","53225",25595.82,24190,26741,25901.67,24835,26984,25706,24354.24,23581,24895
"G53226","2010","53226",19789.96,18171,20856,18692.99,16987,19692,18370,20039.46,19738,20704
"G53227","2010","53227",23559.72,21849,24349,23838.78,23335,24441,23357,23217.80,22846,23594
"G53228","2010","53228",12733.49,12247,13485,14241.49,13910,14746,14369,15208.11,14622,15616
"G53233","2010","53233",16842.61,16543,17153,15740.41,15485,16005,16453,15270.00,15270,15270
"G53235","2010","53235",9214.86,9190,9450,8599.88,8555,8887,9270,9123.37,8907,9174
"G53295","2010","53295",666.32,0,724,393.90,0,428,359,111.64,15,114
"G53402","2010","53402",31814.47,31296,31939,33188.29,33009,33301,33174,33678.78,33605,33806
"G53403","2010","53403",26733.98,26068,28387,27403.35,26668,28449,27432,26076.14,25705,26827
"G53404","2010","53404",17219.09,16504,17412,16881.71,16769,17042,15658,15474.22,15347,15548
"G53405","2010","53405",27325.91,26450,28667,26206.36,25336,26984,25193,25656.07,25338,25950
"G53406","2010","53406",19626.27,18285,20387,22032.54,21286,22834,25845,27096.31,26015,27668
"G53501","2010","53501",17.24,17,32,25.23,25,39,23,25.00,25,25
"G53502","2010","53502",1983.66,1971,2046,2217.90,2215,2218,2421,2599.00,2596,2599
"G53503","2010","53503",1551.93,1474,1582,1807.00,1807,1807,1947,1932.51,1898,1940
"G53504","2010","53504",1933.28,1668,2195,2031.27,1953,2105,2084,1985.02,1954,2053
"G53505","2010","53505",413.78,403,478,365.02,359,407,354,343.00,343,343
"G53506","2010","53506",1053.48,1013,1095,1165.75,1146,1174,1125,1003.14,996,1010
"G53507","2010","53507",1404.79,1261,1581,1933.75,1901,2038,2196,2288.22,2176,2398
"G53508","2010","53508",3106.24,2929,3312,4123.75,4084,4247,5262,5475.45,5354,5672
"G53510","2010","53510",1287.37,1218,1361,1303.33,1233,1385,1482,1451.59,1312,1553
"G53511","2010","53511",46554.76,46444,46777,47166.33,47155,47330,48929,48581.76,48346,48694
"G53515","2010","53515",1981.03,1868,2198,2217.28,2217,2305,2268,2448.00,2448,2544
"G53516","2010","53516",1802.37,1708,1867,1931.84,1895,1979,2152,2202.84,2153,2240
"G53517","2010","53517",1139.65,1002,1372,1553.71,1468,1607,1752,1891.37,1698,2080
"G53518","2010","53518",1441.12,1362,1709,1421.70,1360,1530,1330,1342.57,1316,1434
"G53520","2010","53520",5856.89,5761,5981,6603.55,6586,6614,6810,6702.06,6678,6798
"G53521","2010","53521",2584.22,2479,2684,3027.37,3003,3028,3656,3852.85,3786,3934
"G53522","2010","53522",1130.02,1091,1171,1098.63,1088,1102,1085,1010.70,978,1029
"G53523","2010","53523",3994.64,3666,4416,4718.53,4570,4855,4949,5270.93,5210,5353
"G53525","2010","53525",3649.72,3467,3732,3949.22,3805,3973,4052,3998.75,3969,4056
"G53526","2010","53526",535.06,533,540,528.19,527,536,565,571.00,555,577
"G53527","2010","53527",4527.97,4266,4709,7730.15,7673,7789,9963,11022.20,10803,11127
"G53528","2010","53528",4253.91,3698,4917,5120.68,4703,5926,5734,6324.34,5687,7442
"G53529","2010","53529",1523.62,1346,1684,1787.69,1683,1913,2031,2247.53,2212,2471
"G53530","2010","53530",4221.43,4064,4334,4251.09,4228,4267,4566,4666.42,4621,4688
"G53531","2010","53531",3062.94,2874,3408,3791.02,3650,4018,4338,4608.08,4502,4803
"G53532","2010","53532",8584.96,8303,9609,11378.96,11156,12247,13606,16060.32,15953,16789
"G53533","2010","53533",5794.08,5615,5896,6456.80,6375,6472,7276,7319.36,7259,7380
"G53534","2010","53534",9932.79,9580,10267,10786.11,10554,10930,11512,12662.67,12371,12762
"G53536","2010","53536",5921.14,5781,6055,7238.69,7217,7291,8503,9172.87,9147,9249
"G53537","2010","53537",776.11,641,818,796.00,662,825,781,750.88,479,807
"G53538","2010","53538",15413.99,15044,15855,17501.12,17462,17546,18468,18697.37,18654,18823
"G53540","2010","53540",180.56,162,190,189.72,177,200,169,175.00,175,175
"G53541","2010","53541",1016.70,978,1040,951.23,928,952,861,879.80,857,888
"G53543","2010","53543",1631.16,1571,1743,1748.07,1713,1827,1641,1654.13,1614,1696
"G53544","2010","53544",719.62,684,809,795.19,793,806,800,837.28,816,850
"G53545","2010","53545",22453.51,22163,23094,23620.57,23344,23969,23117,23378.30,22929,23520
"G53546","2010","53546",22353.93,21871,22929,27878.24,27697,28181,30648,31278.39,31198,31838
"G53548","2010","53548",16807.53,16633,17061,18094.94,17977,18291,18558,19259.55,19000,19625
"G53549","2010","53549",9232.75,8987,9597,9951.20,9934,10056,10414,10165.50,10160,10289
"G53550","2010","53550",1189.55,1134,1259,1239.38,1231,1253,1239,1204.96,1190,1220
"G53551","2010","53551",6221.15,5896,6366,7274.78,7251,7315,8273,8943.01,8943,8958
"G53553","2010","53553",496.95,476,549,685.00,685,685,624,582.78,581,596
"G53554","2010","53554",969.84,879,1114,994.22,967,996,1134,1105.43,1072,1125
"G53555","2010","53555",5683.31,5565,5801,7783.28,7755,7898,8465,8603.00,8603,8759
"G53556","2010","53556",2014.62,1861,2199,2408.80,2389,2425,2594,2594.08,2550,2614
"G53557","2010","53557",447.00,447,447,556.00,556,556,482,433.18,417,449
"G53558","2010","53558",7987.17,7543,8181,9174.85,9123,9221,10742,12660.62,12405,12670
"G53559","2010","53559",4112.11,3931,4216,5460.50,5326,5548,6063,6057.80,5917,6074
"G53560","2010","53560",3013.57,2856,3216,3421.33,3401,3422,3458,3650.91,3599,3660
"G53561","2010","53561",1318.81,1237,1426,1516.52,1440,1657,1618,2091.39,2005,2132
